unnamed_0,parking,renovation,balcony,ceiling_height_m,elevator,garbage_chute,floors,toilet,number_of_rooms_only,room_type,price_,distance_to_subway,total_area,home
0,1,1,0,3.0,1,1,5,1,4,0,500000,9.0,200.0,16
1,1,1,0,3.5,1,1,5,1,4,0,500000,8.0,198.0,16
2,1,1,0,3.2,1,0,5,1,4,3,500000,7.0,200.0,16
3,1,1,0,3.2,1,0,5,1,4,3,400000,3.0,170.0,6
4,0,1,0,3.9,1,1,12,1,2,0,225000,7.0,58.0,26
6,1,1,0,3.2,1,0,4,1,5,3,350000,4.0,213.0,5
7,1,1,0,3.2,1,1,2,1,3,0,250000,3.0,98.0,4
8,1,1,0,3.0,1,1,5,1,3,0,130000,9.0,120.0,10
9,1,1,1,310.0,1,1,2,1,4,0,210000,10.0,90.0,7
10,1,1,0,3.2,1,0,6,1,4,3,290000,5.0,170.0,7
11,0,1,1,2.999447458753184,1,0,4,1,3,1,100000,2.0,80.0,8
12,0,1,0,2.999447458753184,1,0,2,1,3,0,200000,8.0,100.0,4
13,0,1,1,2.999447458753184,1,0,6,1,5,0,500000,9.0,180.0,8
14,1,1,1,2.999447458753184,1,0,5,1,5,3,450000,5.0,222.2,9
15,0,1,0,2.999447458753184,1,1,5,1,5,0,450000,6.0,225.0,9
16,0,1,0,2.999447458753184,1,0,19,1,2,0,120000,10.0,30.0,26
18,1,1,1,2.999447458753184,1,0,4,1,5,1,180000,12.0,150.0,7
19,0,1,0,3.2,1,0,3,1,5,3,190000,6.0,201.0,3
20,0,1,0,2.999447458753184,1,1,12,1,2,3,205000,9.0,64.0,26
21,1,1,1,3.2,1,0,2,1,3,3,230000,5.0,112.0,7
23,0,1,0,2.999447458753184,1,0,8,1,5,0,850000,8.0,255.6,9
25,1,1,0,3.2,1,0,3,1,3,3,200000,5.0,100.0,8
26,0,1,1,2.999447458753184,1,0,4,1,5,0,200000,11.0,150.0,7
27,0,1,0,2.999447458753184,1,0,2,1,5,0,300000,7.0,140.0,7
29,1,1,0,3.0,1,1,8,1,5,0,750000,10.0,256.0,10
30,1,1,0,4.0,1,1,3,1,6,0,870000,5.0,380.0,6
32,1,0,0,3.15,1,1,10,1,2,0,400000,7.0,91.0,13
33,1,1,0,2.999447458753184,1,0,5,1,3,0,400000,11.0,135.0,13
34,1,1,0,3.2,1,1,4,1,4,0,590000,3.0,190.0,5
35,0,0,0,4.15,1,1,21,1,2,0,135000,15.0,44.0,26
36,0,1,1,2.999447458753184,1,0,7,1,3,0,150000,0.0,85.0,7
37,0,0,1,3.0,1,1,5,1,2,0,320000,7.0,100.0,7
41,0,0,0,3.35,1,1,9,1,4,0,470000,5.0,165.0,16
43,0,0,0,3.35,1,1,4,1,4,0,600000,5.0,168.0,16
44,0,0,0,2.999447458753184,1,1,8,1,5,0,850000,8.0,250.0,9
45,1,1,1,2.999447458753184,1,0,7,1,3,1,150000,7.0,85.0,7
46,1,1,0,2.999447458753184,1,0,6,1,3,0,195000,5.0,105.0,17
47,1,1,1,2.999447458753184,1,0,8,1,3,3,300000,5.0,134.0,16
48,1,1,0,3.2,1,0,5,1,2,3,90000,5.0,60.0,6
49,0,1,1,2.999447458753184,1,0,7,1,3,0,150000,7.0,85.0,7
51,1,1,0,3.2,1,0,12,1,4,3,350000,5.0,142.0,13
52,0,1,1,2.999447458753184,1,0,7,1,5,0,450000,6.0,222.0,9
53,0,0,0,3.6,1,0,3,1,2,0,120000,7.0,60.0,6
55,1,1,0,3.2,1,0,5,1,5,0,175000,5.0,170.0,5
57,1,0,1,3.0,1,1,6,1,3,0,240000,5.0,105.0,17
58,1,1,0,3.0,1,1,2,1,1,0,250000,10.0,60.0,12
59,0,1,0,2.999447458753184,1,0,4,1,5,0,250000,6.0,155.0,6
60,1,1,0,3.0,1,1,8,1,3,0,300000,5.0,134.0,16
61,1,1,0,2.999447458753184,1,0,3,1,5,0,500000,0.0,214.6,13
62,1,0,0,3.2,1,0,2,1,5,3,500000,5.0,204.0,14
63,0,1,1,2.999447458753184,1,0,7,1,5,0,500000,9.0,180.0,8
64,0,1,1,2.999447458753184,1,0,6,1,6,0,590000,6.0,260.0,8
65,0,1,1,2.999447458753184,1,0,7,1,4,0,650000,6.0,237.1,11
69,1,1,0,3.2,1,1,5,1,5,0,175000,5.0,170.0,5
70,0,0,0,3.0,1,1,6,1,3,0,185000,6.0,98.0,6
71,1,0,0,3.1,1,1,3,1,2,0,200000,5.0,175.0,9
72,0,1,0,2.999447458753184,1,0,3,1,4,3,350000,5.0,180.0,4
73,1,1,0,2.999447458753184,1,0,12,1,4,0,350000,6.0,132.0,13
74,0,1,1,2.999447458753184,1,0,3,1,6,0,400000,4.0,228.0,6
75,1,0,0,4.2,1,1,3,1,3,0,470000,2.0,92.3,7
76,1,1,1,3.2,1,0,2,1,5,3,500000,5.0,204.0,13
77,0,1,0,3.2,1,0,26,1,4,3,650000,4.0,160.0,26
78,0,1,0,3.2,1,0,25,1,4,3,650000,4.0,140.0,26
79,0,1,1,3.2,1,0,25,1,4,3,700000,4.0,140.0,26
80,1,1,1,2.999447458753184,1,0,6,1,1,0,120000,3.0,45.0,7
81,1,1,0,3.2,1,0,7,1,3,3,130000,3.0,65.0,7
82,0,1,0,2.999447458753184,1,1,4,1,3,1,140000,5.0,87.0,7
83,0,1,1,3.0,1,1,7,1,3,0,145000,6.0,90.0,12
84,1,1,0,2.999447458753184,1,0,3,1,4,1,350000,7.0,180.0,4
87,1,1,0,2.999447458753184,1,0,9,1,3,1,99000,3.0,75.0,10
88,0,1,0,2.999447458753184,1,0,3,1,3,0,100000,11.0,87.0,7
89,1,1,1,3.0,1,1,9,1,3,0,180000,8.0,105.0,9
90,1,0,1,3.2,1,0,3,1,3,3,200000,5.0,99.0,9
91,1,0,0,3.5,1,0,2,1,1,0,250000,7.0,60.0,11
92,0,1,0,2.999447458753184,1,0,4,1,4,0,280000,6.0,140.0,6
93,0,1,0,2.999447458753184,1,0,3,1,3,0,300000,0.0,120.0,5
94,1,0,0,2.8,1,0,5,1,3,3,400000,6.0,133.0,13
95,0,0,1,2.999447458753184,1,0,2,1,4,0,400000,4.0,180.0,4
98,1,1,1,3.0,1,1,7,1,5,0,500000,8.0,180.0,7
99,1,0,1,3.2,1,0,7,1,4,3,520000,8.0,190.0,7
100,0,1,0,2.999447458753184,1,1,10,1,3,0,550000,9.0,174.0,16
102,1,1,1,2.999447458753184,1,1,4,1,4,0,650000,2.0,170.0,7
103,1,0,0,3.2,1,0,5,1,6,3,650000,5.0,338.0,6
104,1,0,0,2.999447458753184,1,0,11,1,2,1,80000,8.0,52.0,24
105,0,1,0,2.999447458753184,1,0,9,1,3,0,95000,4.0,91.0,10
106,1,0,1,2.999447458753184,1,0,7,1,2,0,105000,9.0,56.0,16
107,1,0,1,3.2,1,0,5,1,3,3,120000,8.0,80.0,6
108,0,0,0,3.2,1,0,5,1,2,3,135000,8.0,94.0,5
109,0,0,0,3.0,1,0,21,1,2,1,135000,7.0,40.0,26
113,0,1,0,2.999447458753184,1,0,5,1,5,0,175000,7.0,170.0,5
114,1,1,0,3.2,1,1,4,1,3,0,180000,5.0,140.0,6
116,1,0,0,3.0,1,0,4,1,3,3,190000,7.0,120.0,5
117,1,1,1,2.999447458753184,1,1,3,1,3,1,200000,10.0,95.0,9
118,0,1,0,2.999447458753184,1,0,4,1,4,0,220000,4.0,130.0,5
119,0,1,0,2.999447458753184,1,0,24,1,3,3,230000,7.0,70.0,26
121,1,1,1,2.999447458753184,1,0,2,1,4,1,330000,7.0,189.0,9
122,1,0,0,3.8,1,0,2,1,2,0,330000,4.0,120.0,6
123,0,1,0,2.999447458753184,1,0,6,1,4,0,350000,0.0,212.0,17
124,0,1,1,2.999447458753184,1,0,9,1,4,0,350000,12.0,111.0,10
126,0,1,0,2.999447458753184,1,0,12,1,4,0,350000,4.0,132.0,13
128,0,1,0,2.999447458753184,1,0,7,1,2,0,400000,7.0,123.0,13
